tags,elapsed_s,start_unix,end_unix
"['write-jsonl', '083d69ce-ff6f-4c17-b1fb-644de6d76137']",0.00,1713122804.24,1713122804.24
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-6736.zip']",56.78,1713122747.46,1713122804.24
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-6736.zip']",57.95,1713122746.30,1713122804.25
"['initialize-parser', '75bc854e-634f-4f20-b08c-20a32a8e7606']",0.00,1713122805.78,1713122805.78
"['parser-parse', '0a6e79fb-2927-4446-aac6-2f424fa432ca']",56.99,1713122747.31,1713122804.29
"['write-jsonl', '0a6e79fb-2927-4446-aac6-2f424fa432ca']",0.00,1713122804.29,1713122804.30
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-15497.zip']",56.99,1713122747.31,1713122804.30
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-15497.zip']",58.52,1713122745.78,1713122804.30
"['initialize-parser', 'ed93c058-f3db-4dbd-8def-7eec77bcd526']",0.00,1713122805.84,1713122805.84
"['parser-parse', '91d07a20-a9b7-4f05-a602-183c193ec1b9']",56.90,1713122747.42,1713122804.32
"['write-jsonl', '91d07a20-a9b7-4f05-a602-183c193ec1b9']",0.00,1713122804.32,1713122804.32
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-33022.zip']",56.90,1713122747.42,1713122804.32
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-33022.zip']",58.02,1713122746.30,1713122804.32
"['initialize-parser', 'db91d5eb-2625-46a1-b792-0e4279efc333']",0.00,1713122805.85,1713122805.85
"['parser-parse', '297dfc80-ebb3-488b-afc1-beaf10bb6709']",56.91,1713122748.09,1713122805.00
"['write-jsonl', '297dfc80-ebb3-488b-afc1-beaf10bb6709']",0.01,1713122805.00,1713122805.01
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-24858.zip']",56.92,1713122748.09,1713122805.01
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-24858.zip']",58.12,1713122746.90,1713122805.01
"['initialize-parser', 'c4737b47-c4b9-412f-8c08-b628337dfeba']",0.00,1713122806.57,1713122806.57
"['parser-parse', 'b79aa130-d382-4c01-adee-33b50d52554f']",57.30,1713122748.07,1713122805.37
"['write-jsonl', 'b79aa130-d382-4c01-adee-33b50d52554f']",0.00,1713122805.37,1713122805.37
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-37438.zip']",57.31,1713122748.07,1713122805.37
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-37438.zip']",58.47,1713122746.91,1713122805.38
"['initialize-parser', '4c01ff32-27a1-4ecf-85ea-2c5e0da7f597']",0.00,1713122807.01,1713122807.01
"['parser-parse', '367395c4-67f9-4b83-9a27-317f9663e82f']",57.89,1713122747.84,1713122805.73
"['write-jsonl', '367395c4-67f9-4b83-9a27-317f9663e82f']",0.00,1713122805.73,1713122805.73
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-32909.zip']",57.89,1713122747.84,1713122805.73
